contig1	contig2	nr_links_inward_Sample118	nr_links_outward_Sample118	nr_links_inline_Sample118	nr_links_inward_or_outward_Sample118	read_count_contig1_Sample118	read_count_contig2_Sample118	nr_links_inward_Sample120	nr_links_outward_Sample120	nr_links_inline_Sample120	nr_links_inward_or_outward_Sample120	read_count_contig1_Sample120	read_count_contig2_Sample120	nr_links_inward_Sample127	nr_links_outward_Sample127	nr_links_inline_Sample127	nr_links_inward_or_outward_Sample127	read_count_contig1_Sample127	read_count_contig2_Sample127	nr_links_inward_Sample134	nr_links_outward_Sample134	nr_links_inline_Sample134	nr_links_inward_or_outward_Sample134	read_count_contig1_Sample134	read_count_contig2_Sample134	nr_links_inward_Sample177	nr_links_outward_Sample177	nr_links_inline_Sample177	nr_links_inward_or_outward_Sample177	read_count_contig1_Sample177	read_count_contig2_Sample177	nr_links_inward_Sample215	nr_links_outward_Sample215	nr_links_inline_Sample215	nr_links_inward_or_outward_Sample215	read_count_contig1_Sample215	read_count_contig2_Sample215	nr_links_inward_Sample230	nr_links_outward_Sample230	nr_links_inline_Sample230	nr_links_inward_or_outward_Sample230	read_count_contig1_Sample230	read_count_contig2_Sample230	nr_links_inward_Sample234	nr_links_outward_Sample234	nr_links_inline_Sample234	nr_links_inward_or_outward_Sample234	read_count_contig1_Sample234	read_count_contig2_Sample234	nr_links_inward_Sample244	nr_links_outward_Sample244	nr_links_inline_Sample244	nr_links_inward_or_outward_Sample244	read_count_contig1_Sample244	read_count_contig2_Sample244	nr_links_inward_Sample261	nr_links_outward_Sample261	nr_links_inline_Sample261	nr_links_inward_or_outward_Sample261	read_count_contig1_Sample261	read_count_contig2_Sample261	nr_links_inward_Sample263	nr_links_outward_Sample263	nr_links_inline_Sample263	nr_links_inward_or_outward_Sample263	read_count_contig1_Sample263	read_count_contig2_Sample263	nr_links_inward_Sample290	nr_links_outward_Sample290	nr_links_inline_Sample290	nr_links_inward_or_outward_Sample290	read_count_contig1_Sample290	read_count_contig2_Sample290	nr_links_inward_Sample302	nr_links_outward_Sample302	nr_links_inline_Sample302	nr_links_inward_or_outward_Sample302	read_count_contig1_Sample302	read_count_contig2_Sample302	nr_links_inward_Sample321	nr_links_outward_Sample321	nr_links_inline_Sample321	nr_links_inward_or_outward_Sample321	read_count_contig1_Sample321	read_count_contig2_Sample321	nr_links_inward_Sample330	nr_links_outward_Sample330	nr_links_inline_Sample330	nr_links_inward_or_outward_Sample330	read_count_contig1_Sample330	read_count_contig2_Sample330	nr_links_inward_Sample343	nr_links_outward_Sample343	nr_links_inline_Sample343	nr_links_inward_or_outward_Sample343	read_count_contig1_Sample343	read_count_contig2_Sample343
contig-3848000000	contig-667000000	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	22
contig-4919000000	contig-1498000000	0	0	0	0	1112	5	0	0	0	1	2623	3	0	0	0	0	1818	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	3	0	0	0	0	0	0	0	0	0	0	2648	2	0	0	0	0	683	6	0	0	0	0	201	1	0	0	0	0	794	2	0	0	0	0	2331	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	952	16
contig-4919000000	contig-774000000	0	0	0	0	0	0	0	0	0	0	2623	1	0	0	0	0	1818	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	2	0	0	0	0	0	0	0	0	0	0	2648	1	0	0	0	0	683	16	0	0	0	0	201	4	0	0	0	0	794	3	0	0	0	0	2331	5	0	0	0	0	0	0	0	0	1	0	1645	5	0	0	1	0	952	13
contig-4919000000	contig-1405000000	0	0	1	0	1112	3	0	0	0	0	0	0	0	0	0	0	1818	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	1	0	0	0	0	0	0	0	0	0	0	2648	2	0	0	0	0	683	1	0	0	0	0	201	1	0	0	0	0	794	3	0	0	0	0	2331	3	0	0	0	0	0	0	0	0	0	0	1645	2	0	0	2	0	952	5
contig-4919000000	contig-2099000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	3	0	0	0	0	2331	2	0	0	0	0	0	0	0	0	0	0	1645	1	0	0	1	0	952	8
contig-4919000000	contig-1247000000	0	0	0	3	1112	5	0	0	0	2	2623	4	0	0	0	0	1818	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	2	0	0	0	0	0	0	0	0	0	1	2648	4	0	0	0	4	683	6	0	0	0	1	201	2	0	0	0	0	794	1	0	0	0	0	2331	6	0	0	0	0	0	0	0	0	0	2	1645	3	0	0	0	2	952	8
contig-4919000000	contig-119000000	0	0	0	0	1112	18	0	0	0	0	2623	14	0	0	0	0	1818	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2252	11	0	0	0	0	0	0	0	0	0	0	2648	14	0	0	0	0	683	25	0	0	0	0	201	9	0	0	0	0	794	11	0	0	0	0	2331	14	0	0	0	0	0	0	0	0	0	0	1645	10	0	0	0	1	952	41
contig-4919000000	contig-562000000	0	0	0	0	1112	7	0	0	0	0	2623	3	0	0	0	0	1818	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2648	7	0	0	0	0	683	15	0	0	0	0	0	0	0	0	0	0	794	4	0	0	0	0	2331	12	0	0	0	0	0	0	0	0	0	0	1645	2	0	0	1	0	952	27
contig-709000000	contig-3842000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	27	2
contig-774000000	contig-1804000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	10	0	0	0	1	4	3	0	0	0	0	3	1	0	0	0	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	7
contig-774000000	contig-1844000000	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	16	4	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	5	2	0	0	1	0	13	3
contig-765000000	contig-4942000000	0	0	0	0	4	2072	0	0	0	0	5	5101	0	0	0	0	5	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5001	0	0	0	0	12	1153	0	0	0	0	0	0	0	0	0	0	1	1358	0	0	0	0	7	4548	0	0	0	0	0	0	0	0	0	0	4	3155	0	0	3	0	14	1916
contig-765000000	contig-954000000	0	0	0	0	4	2	0	0	0	0	5	3	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	0	12	9	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	14
contig-1131000000	contig-416000000	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	10	22	0	0	0	0	4	6	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	19
contig-332000000	contig-1064000000	0	0	1	0	2	7	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	23	14	0	0	0	0	4	4	0	0	0	0	0	0	0	0	1	0	11	7	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4	0	27	11
contig-332000000	contig-20000000	0	0	0	1	2	558	0	0	0	0	0	0	0	0	0	0	12	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1207	0	0	0	0	23	272	0	0	0	0	4	109	0	0	0	0	2	273	0	0	0	0	11	1068	0	0	0	0	0	0	0	0	0	1	3	802	0	0	0	1	27	500
contig-1043000000	contig-1418000000	0	0	0	0	1	7	0	0	2	0	4	5	0	0	3	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	3	2	0	0	7	0	15	12
contig-1237000000	contig-1614000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	7	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	9	9
