contig	length	GC	phylum	class	order	family	genus	species	gff_info	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343	percentage_covered_Sample118	percentage_covered_Sample120	percentage_covered_Sample127	percentage_covered_Sample134	percentage_covered_Sample177	percentage_covered_Sample215	percentage_covered_Sample230	percentage_covered_Sample234	percentage_covered_Sample244	percentage_covered_Sample261	percentage_covered_Sample263	percentage_covered_Sample290	percentage_covered_Sample302	percentage_covered_Sample321	percentage_covered_Sample330	percentage_covered_Sample343
contig-3479000000	140	57.1428571429	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-4069000000	130	56.9230769231	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.738462	0.769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769231	73.846200	76.923100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	76.923100
contig-2176000000	233	33.4763948498	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.429185	0.429185	0	0	0	0	0.806867	0	0	0.429185	0	0.429185	0	0	0.429185	1.287554	42.918500	42.918500	0.000000	0.000000	0.000000	0.000000	80.686700	0.000000	0.000000	42.918500	0.000000	42.918500	0.000000	0.000000	42.918500	92.703860
contig-1467000000	336	69.9404761905	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0.297619	0.297619	0.595238	0	0	0	0.595238	0	0.297619	1.145833	0.297619	0.595238	1.136905	0	0.892858	1.785714	29.761900	29.761900	53.571400	0.000000	0.000000	0.000000	37.500000	0.000000	29.761900	51.190500	29.761900	30.952400	60.714300	0.000000	67.857100	78.273800
contig-4167000000	113	41.592920354	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	2.654868	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
contig-1125000000	458	32.9694323144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.218341	0	0	0	0	0.410480	0.218341	0.218341	0	3.056769	0	0	2.620087	0	0.000000	0.000000	21.834100	0.000000	0.000000	0.000000	0.000000	41.048000	21.834100	21.834100	0.000000	91.266380	0.000000	0.000000	98.253280	0.000000
contig-4227000000	147	59.1836734694	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.680272	0	1.360544	0.680272	0	3.401362	0	0.632653	2.721088	0	0	0	0	0	0.000000	0.000000	68.027200	0.000000	73.469400	68.027200	0.000000	81.632700	0.000000	63.265300	87.755100	0.000000	0.000000	0.000000	0.000000	0.000000
contig-3104000000	158	63.2911392405	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	1.265822	0	0	0	0	0	0	0.632911	2.512658	0	0	0	0	0	1.265824	0.000000	75.316500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	63.291100	89.873400	0.000000	0.000000	0.000000	0.000000	0.000000	67.721500
contig-3963000000	119	63.025210084	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0.840336	0	0	0	0	0.840336	0.840336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	84.033600	0.000000	0.000000	0.000000	0.000000	84.033600	84.033600
contig-3713000000	129	54.2635658915	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.775194	0	0	0	0	0.775194	0	0	0	0.775194	0	0	0	0	0.000000	0.000000	77.519400	0.000000	0.000000	0.000000	0.000000	77.519400	0.000000	0.000000	0.000000	77.519400	0.000000	0.000000	0.000000	0.000000
contig-1967000000	257	33.8521400778	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0.389105	0	0	0	0	0	0	0.389105	0	1.556420	0	0	1.167315	0	0.000000	0.000000	38.910500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	38.910500	0.000000	86.770400	0.000000	0.000000	57.976700	0.000000
contig-4224000000	168	60.119047619	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	1.190476	1.190477	0	0	0	0	0	0	0.595238	0	0	0	0	0	1.785714	0.000000	60.714300	60.119000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	59.523800	0.000000	0.000000	0.000000	0.000000	0.000000	76.190500
contig-4360000000	107	61.6822429907	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	1.719627	0	0	0	0	0	0	0.822430	0	0	0	0	0	0	0	0.000000	97.196260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	82.243000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
